time	V(n001)	V(n003)
2.712809698755643e-03	2.547503e+00	1.034215e+00
2.730945859469928e-03	2.740875e+00	1.039925e+00
2.749082020184214e-03	2.929586e+00	1.043516e+00
2.758847645184213e-03	3.028282e+00	1.044526e+00
2.768613270184213e-03	3.125012e+00	1.044908e+00
2.778378895184213e-03	3.219776e+00	1.044661e+00
2.788144520184213e-03	3.312574e+00	1.043785e+00
2.797910145184213e-03	3.403405e+00	1.042280e+00
2.807675770184212e-03	3.492270e+00	1.040147e+00
2.817441395184212e-03	3.579168e+00	1.037385e+00
2.840460368398497e-03	3.776409e+00	1.028263e+00
2.863479341612783e-03	3.959620e+00	1.015836e+00
2.886498314827068e-03	4.128801e+00	1.000106e+00
2.909517288041353e-03	4.283952e+00	9.810710e-01
2.932536261255638e-03	4.425074e+00	9.587321e-01
2.955555234469923e-03	4.552166e+00	9.330891e-01
2.978574207684209e-03	4.665229e+00	9.041419e-01
3.007173538041351e-03	4.783050e+00	8.635342e-01
3.035772868398493e-03	4.875368e+00	8.190991e-01
3.064372198755635e-03	4.942183e+00	7.708365e-01
3.092971529112778e-03	4.983495e+00	7.187465e-01
3.121570859469920e-03	4.999305e+00	6.628290e-01
3.150170189827062e-03	4.989611e+00	6.030840e-01
3.178769520184204e-03	4.954414e+00	5.395116e-01
3.194115502327061e-03	4.924576e+00	5.044684e-01
3.209461484469918e-03	4.887582e+00	4.688101e-01
3.224807466612775e-03	4.843433e+00	4.325367e-01
3.240153448755632e-03	4.792128e+00	3.956484e-01
3.255499430898489e-03	4.733667e+00	3.581449e-01
3.270845413041346e-03	4.668051e+00	3.200264e-01
3.286191395184202e-03	4.595279e+00	2.812929e-01
3.292469296969916e-03	4.563594e+00	2.653701e-01
3.298747198755630e-03	4.530794e+00	2.493913e-01
3.305025100541344e-03	4.496880e+00	2.333563e-01
3.311303002327059e-03	4.461850e+00	2.172653e-01
3.317580904112773e-03	4.425705e+00	2.011182e-01
3.323858805898487e-03	4.388446e+00	1.849150e-01
3.330136707684201e-03	4.350072e+00	1.686558e-01
3.339204788041344e-03	4.292684e+00	1.450808e-01
3.348272868398487e-03	4.233147e+00	1.214613e-01
3.357340948755629e-03	4.171460e+00	9.779710e-02
3.366409029112772e-03	4.107625e+00	7.408830e-02
3.375477109469914e-03	4.041641e+00	5.033489e-02
3.384545189827057e-03	3.973508e+00	2.653685e-02
3.393613270184200e-03	3.903226e+00	2.694195e-03
3.404773984469914e-03	3.813860e+00	-2.667071e-02
3.415934698755628e-03	3.721680e+00	-5.595721e-02
3.427095413041342e-03	3.626689e+00	-8.516532e-02
3.438256127327056e-03	3.528884e+00	-1.142950e-01
3.449416841612770e-03	3.428267e+00	-1.433463e-01
3.460577555898484e-03	3.324837e+00	-1.723193e-01
3.471738270184198e-03	3.218594e+00	-2.012138e-01
3.497547421969912e-03	2.960823e+00	-2.679125e-01
3.523356573755626e-03	2.693528e+00	-3.328241e-01
3.549165725541340e-03	2.416708e+00	-3.959485e-01
3.574974877327053e-03	2.130364e+00	-4.572858e-01
3.600784029112767e-03	1.834496e+00	-5.168360e-01
3.626593180898481e-03	1.529103e+00	-5.745989e-01
3.652402332684194e-03	1.214187e+00	-6.305748e-01
3.665655680898480e-03	1.051525e+00	-6.580448e-01
3.678909029112765e-03	8.881523e-01	-6.847134e-01
3.692162377327051e-03	7.240684e-01	-7.105806e-01
3.705415725541336e-03	5.592733e-01	-7.356465e-01
3.718669073755621e-03	3.937672e-01	-7.599110e-01
3.731922421969907e-03	2.275499e-01	-7.833741e-01
3.745175770184192e-03	6.062157e-02	-8.060359e-01
3.748663493398478e-03	1.678659e-02	-8.118349e-01
3.752151216612764e-03	-2.704127e-02	-8.175705e-01
3.755638939827049e-03	-7.086200e-02	-8.232426e-01
3.759126663041335e-03	-1.146756e-01	-8.288512e-01
3.762614386255620e-03	-1.584821e-01	-8.343964e-01
3.766102109469906e-03	-2.022814e-01	-8.398780e-01
3.769589832684192e-03	-2.460736e-01	-8.452963e-01
3.778657913041334e-03	-3.599615e-01	-8.590923e-01
3.787725993398477e-03	-4.735155e-01	-8.724256e-01
3.796794073755620e-03	-5.867356e-01	-8.852960e-01
3.805862154112763e-03	-6.996218e-01	-8.977037e-01
3.814930234469905e-03	-8.121741e-01	-9.096485e-01
3.823998314827048e-03	-9.243926e-01	-9.211305e-01
3.833066395184190e-03	-1.036277e+00	-9.321496e-01
3.842832020184190e-03	-1.156184e+00	-9.434727e-01
3.852597645184190e-03	-1.275217e+00	-9.542122e-01
3.862363270184190e-03	-1.393376e+00	-9.643683e-01
3.872128895184190e-03	-1.510660e+00	-9.739410e-01
3.881894520184189e-03	-1.627071e+00	-9.829303e-01
3.891660145184189e-03	-1.742607e+00	-9.913360e-01
3.901425770184189e-03	-1.857270e+00	-9.991584e-01
3.917469296969903e-03	-2.043610e+00	-1.010707e+00
3.933512823755617e-03	-2.225907e+00	-1.020581e+00
3.949556350541331e-03	-2.404160e+00	-1.028780e+00
3.965599877327045e-03	-2.578370e+00	-1.035304e+00
3.981643404112759e-03	-2.748536e+00	-1.040152e+00
3.997686930898472e-03	-2.914659e+00	-1.043325e+00
4.013730457684187e-03	-3.076738e+00	-1.044824e+00
4.025588716612758e-03	-3.193058e+00	-1.044817e+00
4.037446975541329e-03	-3.306298e+00	-1.043887e+00
4.049305234469901e-03	-3.416459e+00	-1.042033e+00
4.061163493398471e-03	-3.523541e+00	-1.039256e+00
4.073021752327042e-03	-3.627543e+00	-1.035555e+00
4.084880011255614e-03	-3.728466e+00	-1.030931e+00
4.096738270184185e-03	-3.826310e+00	-1.025383e+00
4.122547421969899e-03	-4.028527e+00	-1.009913e+00
4.148356573755612e-03	-4.212102e+00	-9.904498e-01
4.174165725541326e-03	-4.377033e+00	-9.669928e-01
4.199974877327040e-03	-4.523323e+00	-9.395425e-01
4.225784029112754e-03	-4.650969e+00	-9.080987e-01
4.251593180898468e-03	-4.759974e+00	-8.726616e-01
4.277402332684181e-03	-4.850335e+00	-8.332310e-01
4.303909029112752e-03	-4.920559e+00	-7.888272e-01
4.330415725541323e-03	-4.968708e+00	-7.414874e-01
4.356922421969894e-03	-4.994784e+00	-6.912117e-01
4.383429118398464e-03	-4.998786e+00	-6.380000e-01
4.409935814827035e-03	-4.980715e+00	-5.818523e-01
4.436442511255606e-03	-4.940569e+00	-5.227687e-01
4.462949207684177e-03	-4.878349e+00	-4.607490e-01
4.474807466612748e-03	-4.843416e+00	-4.325325e-01
4.486665725541320e-03	-4.804278e+00	-4.039961e-01
4.498523984469891e-03	-4.760937e+00	-3.751396e-01
4.510382243398461e-03	-4.713391e+00	-3.459633e-01
4.522240502327033e-03	-4.661642e+00	-3.164669e-01
4.534098761255604e-03	-4.605690e+00	-2.866506e-01
4.545957020184175e-03	-4.545533e+00	-2.565144e-01
4.557117734469890e-03	-4.485194e+00	-2.279468e-01
4.568278448755603e-03	-4.421460e+00	-1.992565e-01
4.579439163041318e-03	-4.354330e+00	-1.704436e-01
4.590599877327031e-03	-4.283804e+00	-1.415081e-01
4.601760591612746e-03	-4.209883e+00	-1.124500e-01
4.612921305898459e-03	-4.132567e+00	-8.326928e-02
4.624082020184174e-03	-4.051855e+00	-5.396593e-02
4.631755011255602e-03	-3.994553e+00	-3.381436e-02
4.639428002327030e-03	-3.935822e+00	-1.366893e-02
4.647100993398458e-03	-3.875662e+00	6.470342e-03
4.654773984469888e-03	-3.814072e+00	2.660347e-02
4.662446975541316e-03	-3.751053e+00	4.673045e-02
4.670119966612744e-03	-3.686605e+00	6.685128e-02
4.677792957684172e-03	-3.620728e+00	8.696596e-02
4.698021752327029e-03	-3.439515e+00	1.401046e-01
4.718250546969886e-03	-3.250691e+00	1.925477e-01
4.738479341612743e-03	-3.054257e+00	2.442952e-01
4.758708136255599e-03	-2.850213e+00	2.953471e-01
4.778936930898456e-03	-2.638559e+00	3.457036e-01
4.799165725541313e-03	-2.419294e+00	3.953644e-01
4.819394520184169e-03	-2.192420e+00	4.443297e-01
4.831950323755598e-03	-2.049180e+00	4.740188e-01
4.844506127327026e-03	-1.904266e+00	5.031649e-01
4.857061930898454e-03	-1.757677e+00	5.317681e-01
4.869617734469883e-03	-1.609413e+00	5.598283e-01
4.882173538041311e-03	-1.459475e+00	5.873456e-01
4.894729341612739e-03	-1.307862e+00	6.143200e-01
4.907285145184168e-03	-1.154574e+00	6.407514e-01
4.912167957684167e-03	-1.094788e+00	6.508324e-01
4.923328671969882e-03	-9.572556e-01	6.735462e-01
4.934489386255595e-03	-8.192427e-01	6.956879e-01
4.945650100541310e-03	-6.807493e-01	7.172574e-01
4.956810814827023e-03	-5.417754e-01	7.382548e-01
4.967971529112738e-03	-4.023208e-01	7.586801e-01
4.979132243398451e-03	-2.623858e-01	7.785332e-01
4.990292957684166e-03	-1.219702e-01	7.978142e-01
4.995175770184166e-03	-6.062157e-02	8.060356e-01
5.000000000000000e-03	-2.449294e-15	8.140692e-01
